,0,1,2,3,4,5,6,7,8,9,10,11,12,13
zone,Restricted Area,Mid High Post,Left Wing,Top of the Key,Right Wing,Left Conor,Right Conor,Rirht Low Post,Left Low Post,Mid MidRange,MidRange Left Wing,MidRange Right Wing,MidRange Left Conor,MidRange Right Conor
Shot Percentage Average,66.82,45.19,35.63,35.11,35.28,38.53,38.84,43.14,41.76,42.12,40.76,41.51,43.03,39.1
A.J. Green,58.33,40.0,37.35,40.0,41.18,48.08,56.72,0.0,0.0,55.56,28.57,33.33,0.0,0.0
A.J. Lawson,57.35,41.67,33.33,29.41,38.89,38.1,20.0,50.0,20.0,,,,,
AJ Johnson,57.69,35.0,18.18,33.33,26.32,33.33,50.0,26.67,22.22,0.0,,,,
Aaron Gordon,64.1,41.38,43.55,34.78,44.64,45.65,45.45,56.25,51.85,47.06,22.22,54.55,25.0,66.67
Aaron Holiday,68.18,44.12,34.55,28.21,52.83,54.17,27.27,57.14,28.57,62.5,50.0,60.0,0.0,
Aaron Nesmith,66.39,53.06,43.48,54.17,32.79,50.0,50.91,56.25,23.53,33.33,33.33,83.33,33.33,55.56
Aaron Wiggins,68.38,44.59,38.6,40.91,36.84,34.62,41.67,35.0,36.67,44.44,50.0,0.0,50.0,0.0
Adam Flagler,66.67,40.0,18.52,35.71,18.18,0.0,0.0,33.33,50.0,66.67,50.0,0.0,,
Adama Sanogo,60.0,50.0,,,,,,,,,,,,
Adem Bona,72.61,65.38,,,,0.0,,0.0,50.0,,,,,
Ajay Mitchell,62.26,36.67,21.43,45.45,47.37,43.75,50.0,71.43,59.09,0.0,50.0,60.0,,0.0
Al Horford,71.26,40.38,40.91,37.88,32.32,39.58,36.76,45.0,50.0,25.0,12.5,100.0,0.0,66.67
Alec Burks,40.0,47.37,35.29,55.0,48.78,40.85,38.24,33.33,60.0,100.0,25.0,40.0,33.33,
Alex Caruso,61.65,45.45,33.82,43.33,30.23,40.54,44.19,50.0,20.0,0.0,0.0,50.0,50.0,
Alex Ducas,25.0,0.0,40.0,50.0,40.0,60.0,50.0,0.0,,,100.0,,0.0,
Alex Len,59.26,50.0,0.0,33.33,0.0,50.0,0.0,50.0,60.0,0.0,,,,
Alex Reese,100.0,100.0,37.5,66.67,37.5,50.0,15.38,0.0,0.0,,,,,100.0
Alex Sarr,63.78,34.13,28.87,29.01,33.33,34.29,38.89,28.89,27.5,50.0,54.55,50.0,25.0,22.22
Alondes Williams,100.0,,100.0,,,,,,,,,,,
Alperen Şengün,65.78,43.38,26.32,21.57,26.32,75.0,0.0,30.0,33.93,48.33,31.25,30.43,0.0,16.67
Amen Thompson,71.61,47.65,18.18,25.0,7.14,44.44,32.43,32.65,50.0,38.46,45.45,23.53,42.86,25.0
Amir Coffey,65.0,47.89,45.1,34.38,34.78,36.36,54.0,62.5,31.82,44.83,41.18,70.0,0.0,20.0
Andre Drummond,59.73,39.02,0.0,14.29,0.0,40.0,0.0,50.0,25.0,,0.0,100.0,,
Andre Jackson Jr.,64.94,25.0,50.0,75.0,30.77,35.29,38.46,33.33,37.5,50.0,0.0,0.0,0.0,100.0
Andrew Nembhard,69.63,43.14,24.07,36.0,46.88,35.48,33.33,53.57,56.0,53.85,39.29,44.83,54.17,26.67
Andrew Wiggins,57.77,48.26,39.55,32.22,35.48,39.02,48.0,48.48,35.48,30.0,44.44,32.0,40.0,71.43
Anfernee Simons,62.98,40.32,38.1,37.59,34.3,34.21,38.1,48.44,22.92,59.09,48.94,73.68,33.33,33.33
Anthony Black,58.74,39.5,30.61,24.32,23.68,32.43,47.73,43.75,28.57,33.33,20.0,33.33,66.67,33.33
Anthony Davis,72.48,42.92,32.65,31.58,22.22,12.5,20.0,55.56,39.62,40.62,45.83,53.57,28.57,42.86
Anthony Edwards,62.47,41.98,34.87,41.38,39.8,42.65,46.67,47.92,42.55,42.62,21.05,36.54,47.37,25.0
Anthony Gill,62.07,62.5,42.86,14.29,50.0,25.0,40.0,66.67,25.0,0.0,0.0,,,
Anton Watson,75.0,0.0,,0.0,,,,100.0,0.0,,,,,
Antonio Reeves,58.18,43.33,59.09,40.0,35.29,28.0,40.91,55.56,69.23,14.29,33.33,50.0,,
Ariel Hukporti,75.0,66.67,,,,,,0.0,,0.0,,,,
Armel Traoré,60.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
Ausar Thompson,68.09,33.33,33.33,12.5,0.0,23.08,28.57,38.71,40.74,25.0,100.0,0.0,0.0,
Austin Reaves,70.44,45.6,39.33,36.97,32.94,40.0,54.29,38.24,46.67,45.45,53.33,40.0,75.0,0.0
Ayo Dosunmu,67.74,55.56,25.71,45.83,28.3,34.29,35.71,40.74,16.67,,0.0,50.0,,0.0
Bam Adebayo,70.53,41.48,30.0,30.39,35.14,44.23,40.74,44.9,58.49,42.22,53.57,26.09,61.9,25.0
Baylor Scheierman,69.23,22.22,43.75,0.0,30.0,28.57,33.33,0.0,,0.0,50.0,50.0,,0.0
Ben Sheppard,68.33,27.27,33.33,38.46,35.14,27.45,38.16,66.67,50.0,100.0,0.0,100.0,100.0,0.0
Ben Simmons,62.14,47.67,,,,,,36.36,27.27,,,0.0,,
Bennedict Mathurin,62.58,40.62,25.0,29.9,37.86,42.86,39.02,45.0,60.87,34.29,22.22,34.78,50.0,54.55
Bilal Coulibaly,70.41,35.11,25.76,26.19,26.67,34.29,33.33,25.93,30.43,19.23,33.33,30.0,25.0,0.0
Bismack Biyombo,70.18,48.65,,,,,,41.67,50.0,,,,,
Blake Wesley,60.67,27.78,33.33,25.0,25.0,37.5,30.77,40.0,25.0,25.0,0.0,0.0,25.0,0.0
Bobby Portis,64.03,50.59,31.91,35.85,36.17,37.5,45.45,45.65,42.5,52.38,38.46,43.33,38.71,36.84
Bobi Klintman,100.0,50.0,0.0,100.0,0.0,0.0,100.0,,,,,,100.0,
Bogdan Bogdanović,54.79,49.3,32.69,30.91,43.21,39.29,38.24,60.0,41.18,30.0,72.73,83.33,30.0,50.0
Bol Bol,80.95,76.19,25.0,41.67,30.77,29.17,40.91,71.43,66.67,50.0,100.0,50.0,50.0,60.0
Bones Hyland,53.33,28.57,43.75,21.05,45.45,50.0,50.0,0.0,0.0,50.0,0.0,60.0,100.0,0.0
Bradley Beal,73.85,55.46,43.24,33.33,32.69,46.94,35.14,57.89,36.84,39.13,48.72,56.52,33.33,40.0
Branden Carlson,77.78,80.0,14.29,41.67,37.5,22.22,40.0,42.86,,0.0,,,,
Brandin Podziemski,64.04,46.62,34.83,35.29,39.64,48.78,18.52,44.0,50.0,25.0,52.63,43.48,33.33,20.0
Brandon Boston Jr.,63.64,28.21,35.9,35.29,36.36,25.0,35.0,40.0,10.0,50.0,31.25,43.48,100.0,100.0
Brandon Clarke,81.77,50.0,0.0,,0.0,0.0,20.0,50.0,40.0,0.0,0.0,50.0,0.0,
Brandon Ingram,72.0,50.98,47.83,30.0,33.33,33.33,20.0,47.62,20.0,54.55,36.0,29.41,50.0,57.14
Brandon Miller,68.75,38.57,40.28,32.04,39.08,25.0,50.0,44.44,20.0,50.0,25.0,33.33,,33.33
Brandon Williams,63.53,44.83,45.0,42.86,40.0,28.57,44.44,77.78,20.0,50.0,50.0,80.0,0.0,
Braxton Key,16.67,0.0,0.0,,,0.0,,0.0,,,,,,
Brice Sensabaugh,63.93,41.79,40.74,40.62,34.18,49.23,50.91,67.86,54.29,36.36,44.44,28.57,100.0,0.0
Bronny James,71.43,26.67,14.29,40.0,22.22,25.0,25.0,0.0,33.33,33.33,,0.0,100.0,0.0
Brook Lopez,76.96,54.46,35.23,38.02,31.25,42.86,63.64,50.0,38.46,55.0,33.33,20.0,66.67,100.0
Bruce Brown,62.24,32.47,21.43,21.43,40.0,16.67,44.44,37.5,33.33,66.67,0.0,14.29,50.0,0.0
Bruno Fernando,66.67,36.36,,,,,,0.0,0.0,,,0.0,,
Bryce McGowens,100.0,33.33,0.0,,,,0.0,0.0,0.0,,,,,
Bub Carrington,53.33,46.67,36.28,34.55,31.67,33.33,33.33,40.54,12.5,44.9,65.38,45.83,,25.0
Buddy Hield,64.34,43.4,34.76,39.67,38.73,34.83,43.55,40.0,63.64,21.43,31.25,14.29,37.5,30.0
CJ McCollum,64.57,43.18,41.35,29.23,43.36,50.0,26.83,54.55,45.95,39.13,37.5,41.38,37.5,100.0
Cade Cunningham,57.36,51.38,36.07,34.04,34.23,33.33,44.44,41.73,46.77,42.86,36.84,55.0,60.0,44.44
Caleb Houstan,46.15,80.0,42.0,47.06,40.91,34.29,29.17,66.67,33.33,50.0,50.0,0.0,0.0,0.0
Caleb Martin,59.76,42.5,32.0,9.09,31.82,52.63,44.0,46.67,14.29,52.94,7.69,30.0,33.33,28.57
Cam Christie,55.56,50.0,0.0,50.0,25.0,0.0,,,,,0.0,,,
Cam Reddish,68.97,18.18,50.0,0.0,12.5,35.71,22.22,50.0,100.0,0.0,100.0,,0.0,
Cam Spencer,66.67,54.55,27.59,0.0,75.0,40.0,0.0,0.0,100.0,50.0,,0.0,,
Cam Thomas,57.69,47.37,43.75,25.86,37.5,25.0,25.0,42.11,41.18,40.0,59.26,41.67,57.14,66.67
Cam Whitmore,63.03,34.55,29.41,46.67,26.67,38.1,42.86,22.22,45.45,50.0,40.0,50.0,50.0,66.67
Cameron Johnson,71.88,39.39,36.73,37.72,39.58,42.31,47.37,66.67,35.71,44.44,60.0,31.58,25.0,33.33
Cameron Payne,49.33,47.95,27.87,29.51,43.8,38.46,26.32,35.0,37.5,50.0,40.0,28.57,0.0,50.0
Caris LeVert,64.18,43.06,34.44,32.56,37.31,42.55,40.91,43.75,37.5,12.5,42.86,25.0,50.0,50.0
Cason Wallace,66.47,45.45,30.91,25.0,47.17,30.3,38.3,32.14,45.83,50.0,0.0,100.0,0.0,25.0
Charles Bassey,61.54,60.0,,,,,,33.33,33.33,0.0,,,,
Chet Holmgren,71.98,28.57,27.08,35.9,42.0,40.0,38.46,33.33,56.52,30.0,0.0,25.0,60.0,0.0
Chris Boucher,72.88,47.62,40.74,16.67,32.35,42.11,36.73,50.0,16.67,33.33,50.0,40.0,50.0,60.0
Chris Duarte,50.0,66.67,50.0,0.0,33.33,100.0,,,,,,,,
Chris Livingston,57.14,25.0,0.0,0.0,0.0,,0.0,,0.0,,,,,
Chris Paul,82.35,55.32,38.79,39.2,36.71,29.17,40.0,52.17,33.33,48.78,29.41,49.02,50.0,50.0
Christian Braun,72.93,41.51,39.51,47.17,35.09,35.94,28.57,60.0,34.78,30.0,50.0,44.44,66.67,
Christian Koloko,70.83,42.86,,0.0,0.0,0.0,,50.0,0.0,0.0,,100.0,,
Chuma Okeke,75.0,,40.0,50.0,12.5,60.0,37.5,,,,,,,
Clint Capela,62.55,38.37,,,0.0,,,42.86,54.55,,,0.0,,
Coby White,63.12,47.06,39.15,32.96,41.07,44.0,29.63,46.94,51.22,20.0,32.0,31.25,25.0,0.0
Cody Martin,68.82,32.0,21.88,33.33,35.0,34.15,22.5,75.0,30.0,35.71,44.44,28.57,50.0,0.0
Cody Williams,52.94,40.0,29.63,22.22,26.32,31.82,16.67,47.62,25.0,28.57,0.0,0.0,0.0,0.0
Colby Jones,70.0,56.52,30.77,27.27,41.67,42.86,16.67,20.0,44.44,0.0,20.0,40.0,,0.0
Cole Anthony,63.44,45.37,31.91,33.85,31.25,41.67,54.55,43.75,33.33,33.33,50.0,30.43,50.0,42.86
Cole Swider,20.0,0.0,27.27,25.0,37.5,38.46,28.57,,50.0,100.0,,0.0,0.0,50.0
Colin Castleton,70.27,47.06,,0.0,0.0,0.0,33.33,22.22,0.0,,0.0,,,
Collin Gillespie,52.17,37.5,30.43,37.5,55.56,53.85,50.0,50.0,25.0,42.86,,50.0,,
Collin Sexton,63.16,54.73,49.3,34.62,33.9,45.45,46.43,32.86,43.94,43.33,34.38,40.0,75.0,50.0
Corey Kispert,69.23,42.62,41.18,35.56,32.89,39.29,34.48,64.29,37.5,0.0,0.0,50.0,0.0,
Cory Joseph,59.09,42.86,39.47,25.81,48.0,35.71,27.78,50.0,40.0,60.0,50.0,50.0,100.0,50.0
Craig Porter Jr.,69.49,44.0,54.55,43.75,22.22,28.57,50.0,50.0,33.33,0.0,,50.0,0.0,
Cui Yongxi,33.33,0.0,,,0.0,,0.0,,,,,,,
D'Angelo Russell,62.82,48.67,29.7,33.09,31.33,33.33,22.22,25.0,55.17,35.71,35.29,25.0,0.0,0.0
D.J. Carton,50.0,0.0,0.0,0.0,,0.0,,,,,,,,
DaQuan Jeffries,54.41,41.94,22.22,41.67,25.81,34.0,50.0,57.14,20.0,100.0,75.0,40.0,,0.0
Daeqwon Plowden,85.71,100.0,40.0,100.0,75.0,50.0,33.33,,,,,,,
Daishen Nix,,,,,,,0.0,,,,,,,
Dalano Banton,55.13,35.85,39.29,24.66,26.83,38.1,44.0,11.11,32.14,37.5,28.57,44.44,0.0,
Dalen Terry,57.98,32.26,42.86,33.33,20.0,42.31,28.57,40.0,0.0,100.0,0.0,0.0,,0.0
Dalton Knecht,76.36,45.76,34.34,33.82,38.16,43.86,43.9,42.86,28.57,36.36,33.33,62.5,0.0,100.0
Damian Lillard,60.73,50.0,33.75,37.5,37.3,44.44,35.0,42.86,33.33,52.08,49.15,45.16,53.85,12.5
Damion Baugh,59.38,28.0,33.33,12.5,30.77,0.0,33.33,22.22,0.0,,,,100.0,
Damion Lee,62.5,58.82,9.09,20.0,37.5,42.86,16.67,40.0,0.0,33.33,0.0,0.0,,
Daniel Gafford,75.24,57.89,,,,,,41.18,45.45,,,100.0,,
Daniel Theis,64.81,50.0,20.0,46.15,25.0,0.0,0.0,40.0,42.86,20.0,,100.0,,
Daniss Jenkins,66.67,,33.33,0.0,0.0,0.0,0.0,,,,,,,
Dante Exum,60.47,50.0,33.33,14.29,47.06,72.73,37.5,22.22,0.0,0.0,66.67,100.0,,
Dario Šarić,57.89,25.0,16.67,33.33,0.0,50.0,50.0,,0.0,0.0,,,,100.0
Dariq Whitehead,20.0,60.0,46.15,22.22,52.63,38.46,57.14,50.0,0.0,0.0,0.0,,,
Darius Garland,62.38,53.77,41.67,38.5,40.29,38.64,37.5,52.11,43.48,37.5,50.0,39.47,50.0,36.36
David Duke Jr.,60.0,0.0,,,0.0,33.33,100.0,0.0,,,,,,
David Roddy,66.67,54.17,16.67,44.44,27.27,42.86,44.44,100.0,66.67,,0.0,,,
Davion Mitchell,60.48,51.32,41.94,34.85,48.15,35.48,58.82,41.18,56.25,18.18,0.0,50.0,0.0,
Day'Ron Sharpe,61.67,48.21,0.0,16.0,40.0,25.0,44.44,20.0,66.67,50.0,,40.0,,100.0
De'Aaron Fox,67.41,52.61,35.0,28.32,28.42,40.91,21.05,40.0,49.33,41.25,42.67,55.56,0.0,20.0
De'Andre Hunter,62.91,47.41,46.74,42.11,40.0,39.29,35.48,34.29,50.0,56.25,25.0,45.0,66.67,75.0
De'Anthony Melton,44.44,66.67,36.36,40.0,20.0,100.0,50.0,50.0,33.33,,,,,
DeAndre Jordan,73.33,37.5,,,,,,75.0,20.0,,,,,
DeMar DeRozan,71.55,54.0,31.15,30.14,37.5,34.38,42.86,55.84,47.89,47.69,45.61,45.38,52.31,27.27
Dean Wade,78.95,36.36,35.9,26.92,31.94,34.62,47.73,,,100.0,0.0,,,0.0
Deandre Ayton,75.82,53.66,25.0,30.0,50.0,0.0,12.5,43.75,26.67,47.46,40.0,47.06,0.0,50.0
Dejounte Murray,56.07,36.9,23.21,36.84,17.39,40.0,28.57,46.15,46.15,28.0,36.36,64.71,28.57,20.0
Delon Wright,55.56,16.67,14.29,9.09,35.0,50.0,40.0,28.57,0.0,,,50.0,,
Deni Avdija,65.18,38.66,42.39,37.76,33.73,32.26,29.73,43.33,15.38,50.0,50.0,43.75,0.0,
Dennis Schröder,56.52,36.11,34.72,35.96,29.89,38.46,62.5,42.86,42.31,57.14,36.84,32.61,60.0,36.36
Dereck Lively II,76.56,50.94,,,,,,57.14,71.43,,,,,
Derrick Jones Jr.,69.66,50.0,44.9,21.43,26.19,28.79,43.28,46.67,42.31,16.67,40.0,100.0,,
Derrick White,74.8,57.47,42.86,32.1,35.42,45.07,41.33,45.95,56.25,25.0,53.85,40.0,33.33,100.0
Desmond Bane,68.28,44.12,23.53,44.29,53.1,32.08,30.77,40.0,45.24,40.0,65.38,36.36,60.0,44.44
Devin Booker,69.79,49.59,27.92,35.87,32.74,36.67,32.5,40.28,51.47,56.98,43.48,51.39,50.0,59.09
Devin Carter,63.33,36.36,41.18,28.57,20.0,57.14,25.0,25.0,0.0,33.33,0.0,,,
Devin Vassell,63.7,45.45,34.65,29.31,37.78,40.68,47.83,37.78,48.28,48.28,40.91,50.98,44.44,41.67
Dillon Brooks,52.82,41.96,37.2,41.07,43.24,35.38,39.06,23.81,56.41,55.56,55.88,52.0,40.0,42.86
Dillon Jones,59.52,40.0,20.0,29.41,29.41,36.36,0.0,40.0,25.0,50.0,100.0,0.0,,
Domantas Sabonis,69.11,49.61,48.28,42.5,28.21,100.0,42.86,56.52,58.82,50.0,45.45,35.29,50.0,0.0
Dominick Barlow,74.51,45.83,,50.0,66.67,8.33,27.27,100.0,33.33,33.33,0.0,,,0.0
Donovan Clingan,64.1,31.25,22.22,28.57,28.57,50.0,0.0,16.67,33.33,100.0,0.0,0.0,,
Donovan Mitchell,60.2,52.29,36.51,36.55,34.09,57.5,30.56,43.75,36.0,43.4,45.61,35.29,16.67,44.44
Donte DiVincenzo,59.05,34.0,39.78,36.67,34.19,44.93,30.0,33.33,50.0,0.0,33.33,0.0,50.0,
Dorian Finney-Smith,60.42,33.33,36.84,44.93,40.58,40.54,42.37,50.0,40.0,,,100.0,0.0,
Doug McDermott,50.0,100.0,37.5,33.33,64.71,50.0,37.5,0.0,0.0,50.0,,,0.0,
Draymond Green,60.96,43.37,40.0,29.63,21.95,21.21,41.38,56.25,40.0,33.33,0.0,100.0,100.0,50.0
Drew Eubanks,71.74,50.0,,0.0,,50.0,66.67,31.58,55.56,,,,,
Drew Peterson,40.0,,28.57,40.0,54.55,37.5,0.0,50.0,,,,100.0,,
Drew Timme,58.33,47.83,25.0,25.0,25.0,50.0,0.0,66.67,50.0,50.0,,0.0,,
Dru Smith,71.43,20.0,57.14,20.0,57.14,57.14,75.0,50.0,33.33,,,,,
Duncan Robinson,66.67,50.0,36.89,42.24,37.42,42.55,40.0,47.06,26.67,0.0,50.0,,,
Duop Reath,76.19,22.22,36.84,25.71,37.04,12.5,41.18,0.0,50.0,0.0,,,,
Dwight Powell,72.73,50.0,,,0.0,100.0,33.33,100.0,,,,,,
Dyson Daniels,64.63,50.18,29.73,28.85,41.3,27.27,51.43,40.0,31.91,40.0,0.0,66.67,0.0,
E.J. Liddell,100.0,100.0,0.0,16.67,66.67,,,,100.0,,,,,
Elfrid Payton,40.91,32.88,0.0,0.0,100.0,,0.0,18.18,50.0,40.0,100.0,0.0,,
Elijah Harkless,75.0,0.0,14.29,33.33,25.0,75.0,0.0,100.0,0.0,,0.0,,,
Emanuel Miller,50.0,100.0,,,0.0,,,,,,,,,
Emoni Bates,50.0,,30.0,25.0,38.46,0.0,100.0,0.0,,,0.0,,,0.0
Enrique Freeman,63.64,20.0,0.0,,,0.0,33.33,,,,,,,
Eric Gordon,55.26,41.18,56.0,34.29,38.0,40.0,57.14,16.67,,0.0,0.0,,100.0,100.0
Evan Mobley,76.37,40.57,36.99,36.99,36.67,37.5,44.0,46.34,29.63,37.5,0.0,14.29,0.0,33.33
Franz Wagner,68.22,45.52,25.56,26.27,30.59,35.71,38.1,36.71,51.35,34.62,52.0,46.15,0.0,40.0
Fred VanVleet,50.0,33.77,37.41,34.13,38.67,34.38,32.0,26.67,56.52,45.1,40.62,46.67,20.0,25.0
GG Jackson II,50.0,23.33,23.53,43.48,34.48,29.41,30.0,0.0,71.43,100.0,0.0,,,0.0
Gabe Vincent,66.67,34.48,31.52,43.48,30.65,33.33,46.94,50.0,50.0,75.0,50.0,33.33,66.67,0.0
Garrett Temple,52.94,33.33,37.5,0.0,11.11,20.0,25.0,,0.0,0.0,0.0,0.0,50.0,
Garrison Mathews,54.55,50.0,25.81,25.0,37.25,58.33,56.1,33.33,40.0,0.0,,0.0,50.0,50.0
Gary Harris,64.29,23.08,41.94,30.77,25.0,37.5,31.25,50.0,,0.0,100.0,50.0,100.0,
Gary Payton II,79.87,45.24,43.75,33.33,13.04,38.71,39.02,33.33,35.29,,,0.0,,
Gary Trent Jr.,55.93,48.48,40.13,37.5,42.19,47.06,48.94,53.33,14.29,36.67,46.43,31.82,50.0,42.86
Georges Niang,66.67,49.3,44.64,32.14,38.64,45.56,35.21,48.0,50.0,0.0,0.0,100.0,50.0,50.0
Giannis Antetokounmpo,75.73,42.33,25.0,18.18,42.86,0.0,0.0,37.5,46.15,44.04,44.44,35.56,52.63,50.0
Goga Bitadze,72.34,40.0,0.0,12.5,20.0,0.0,0.0,36.36,87.5,50.0,0.0,0.0,,50.0
Gradey Dick,53.21,42.55,30.77,38.96,36.59,28.57,39.13,40.62,33.33,34.78,54.55,41.67,50.0,50.0
